_id,"device_id",Unknown_morning,Unknown_afternoon,Unknown_evening,Communication_morning,Communication_afternoon,Communication_evening,Social_morning,Social_afternoon,Social_evening,Travel_morning,Travel_afternoon,Travel_evening,Productivity_morning,Productivity_afternoon,Productivity_evening,Weather_morning,Weather_afternoon,Weather_evening,Finance_morning,Finance_afternoon,Finance_evening,Entertainment_morning,Entertainment_afternoon,Entertainment_evening,Books_morning,Books_afternoon,Books_evening,Personalization_morning,Personalization_afternoon,Personalization_evening,Lifestyle_morning,Lifestyle_afternoon,Lifestyle_evening,Game_morning,Game_afternoon,Game_evening,Health_morning,Health_afternoon,Health_evening,Libraries_morning,Libraries_afternoon,Libraries_evening,Education_morning,Education_afternoon,Education_evening
21,"f9a8edcf-96d8-471a-a435-9b7d3cb9cdb6",0.181363,0.275479,0.543158,0.109341,0.212649,0.67801,0.101401,0.155478,0.743121,0.101401,0.155478,0.743121,0.076051,0.116608,0.807341,0.128594,0.225533,0.645872,0.091853,0.303952,0.604195,0.13842,0.244307,0.617273,0.13842,0.244307,0.617273,0.133069,0.261841,0.605089,0.133069,0.261841,0.605089,0.111206,0.278667,0.610127,0.111206,0.278667,0.610127,0.111206,0.278667,0.610127,0.111206,0.278667,0.610127
22,"77b434ce-18a8-46d4-80f7-0c8b1381eb06",0.425758,0.44848,0.125762,0.517751,0.368824,0.113425,0.538876,0.368906,0.092218,0.541407,0.34606,0.112533,0.555556,0.336749,0.107695,0.550024,0.348959,0.101017,0.625773,0.297761,0.076466,0.522739,0.408113,0.069148,0.482529,0.381389,0.136082,0.482529,0.381389,0.136082,0.482529,0.381389,0.136082,0.482529,0.381389,0.136082,0.47388,0.373375,0.152745,0.47388,0.373375,0.152745,0.47388,0.373375,0.152745
23,"bbc2a616-e3ab-4630-818a-264841c7d0fd",0.771626,0.044067,0.184307,0.593508,0.19708,0.209412,0.593508,0.19708,0.209412,0.436657,0.374744,0.188599,0.484475,0.295027,0.220499,0.484475,0.295027,0.220499,0.484475,0.295027,0.220499,0.543813,0.272513,0.183674,0.483389,0.353345,0.163265,0.483389,0.353345,0.163265,0.483389,0.353345,0.163265,0.499157,0.339605,0.161238,0.499157,0.339605,0.161238,0.499157,0.339605,0.161238,0.499157,0.339605,0.161238
24,"8f66ced5-7a89-4e6b-9e7c-b1f2813d16b3",0.053416,0.507226,0.439358,0.061897,0.53193,0.406173,0.046107,0.629718,0.324176,0.03458,0.623985,0.341435,0.046977,0.605023,0.347999,0.046977,0.605023,0.347999,0.046977,0.605023,0.347999,0.13721,0.533217,0.329573,0.13721,0.533217,0.329573,0.13721,0.533217,0.329573,0.13721,0.533217,0.329573,0.13721,0.533217,0.329573,0.13721,0.533217,0.329573,0.13721,0.533217,0.329573,0.13721,0.533217,0.329573
25,"64a134e2-b105-4125-930a-d2b0732cb7d2",0.172762,0,0.827238,0.134549,0,0.865452,0.134549,0,0.865452,0.134549,0,0.865452,0.134549,0,0.865452,0.345295,0,0.654705,0.345295,0,0.654705,0.508971,0,0.491029,0.508971,0,0.491029,0.508971,0,0.491029,0.508971,0,0.491029,0.508971,0,0.491029,0.508971,0,0.491029,0.508971,0,0.491029,0.508971,0,0.491029
26,"a37e0add-0249-484a-ad12-574fae796ac2",0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
27,"0f155df6-1f6b-4e9c-83d1-d4452913a071",0.075926,0.131025,0.793049,0.235359,0.145962,0.618678,0.156906,0.097308,0.745785,0.11768,0.072981,0.809339,0.149597,0.073554,0.776849,0.149597,0.073554,0.776849,0.149597,0.073554,0.776849,0.151367,0.229984,0.618649,0.151367,0.229984,0.618649,0.151367,0.229984,0.618649,0.151367,0.229984,0.618649,0.151367,0.229984,0.618649,0.151367,0.229984,0.618649,0.151367,0.229984,0.618649,0.151367,0.229984,0.618649
28,"bc47989b-c288-4de8-821f-d11f227e3e42",0.125242,0.284981,0.589777,0.107324,0.218664,0.674012,0.177483,0.222575,0.599942,0.133112,0.213954,0.652933,0.127952,0.273325,0.598723,0.127952,0.273325,0.598723,0.106627,0.394437,0.498936,0.08928,0.372968,0.537752,0.104916,0.352033,0.543051,0.103566,0.344901,0.551533,0.110279,0.340607,0.549113,0.102402,0.316278,0.581319,0.102402,0.316278,0.581319,0.102402,0.316278,0.581319,0.102402,0.316278,0.581319
29,"e584ffc0-5f9e-4f61-9810-670d1e49e901",0.203849,0.309626,0.486525,0.348599,0.20556,0.445841,0.310922,0.138002,0.551076,0.262168,0.125043,0.61279,0.281458,0.145354,0.573187,0.281458,0.145354,0.573187,0.278669,0.166176,0.555155,0.370125,0.12696,0.502915,0.427386,0.115419,0.457195,0.427386,0.115419,0.457195,0.427386,0.115419,0.457195,0.475104,0.1058,0.419096,0.475104,0.1058,0.419096,0.475104,0.1058,0.419096,0.505374,0.097662,0.396964
30,"a9afa150-173a-4103-94a5-f34797dfbed9",0.175271,0.418273,0.406456,0.234874,0.315073,0.450053,0.22168,0.289521,0.4888,0.20074,0.326605,0.472655,0.262449,0.347621,0.38993,0.262449,0.347621,0.38993,0.252611,0.414163,0.333227,0.179,0.391526,0.429474,0.164083,0.358899,0.477018,0.151461,0.408214,0.440324,0.145771,0.379056,0.475173,0.14218,0.418508,0.439313,0.14218,0.418508,0.439313,0.14218,0.418508,0.439313,0.14218,0.418508,0.439313
31,"f3fd3395-ac57-4902-abcb-e1840795f4be",0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
32,"dda31ab8-d40a-4b7b-a659-9f4cc23d98e3",0.242203,0.003945,0.753852,0.15305,0.006162,0.840788,0.140466,0.201222,0.658312,0.10535,0.150916,0.743734,0.10535,0.150916,0.743734,0.10535,0.150916,0.743734,0.08428,0.120733,0.794987,0.138631,0.131996,0.729373,0.138631,0.131996,0.729373,0.138631,0.131996,0.729373,0.138631,0.131996,0.729373,0.246485,0.150947,0.602568,0.246485,0.150947,0.602568,0.246485,0.150947,0.602568,0.246485,0.150947,0.602568
33,"7dc470ef-90d7-4d4a-bcbc-860a3d1da445",0.002513,0.041012,0.956475,0.004029,0.500268,0.495704,0.010635,0.593454,0.395911,0.007976,0.562609,0.429415,0.006381,0.488763,0.504856,0.006381,0.488763,0.504856,0.004174,0.333739,0.662087,0.008394,0.280298,0.711309,0.008394,0.280298,0.711309,0.008394,0.280298,0.711309,0.007748,0.258736,0.733516,0.007748,0.258736,0.733516,0.02932,0.243302,0.727378,0.02932,0.243302,0.727378,0.02932,0.243302,0.727378
34,"9bc16932-5446-40bf-8011-392cc6d83906",0.536186,0.212822,0.250992,0.384501,0.435455,0.180044,0.373737,0.365319,0.260943,0.28284,0.512478,0.204682,0.301323,0.45999,0.238687,0.269182,0.404367,0.326451,0.346007,0.433614,0.220379,0.380656,0.375642,0.243702,0.355279,0.417266,0.227455,0.358192,0.41027,0.231538,0.397844,0.376797,0.225358,0.414659,0.354141,0.2312,0.414659,0.354141,0.2312,0.414659,0.354141,0.2312,0.421476,0.346568,0.231956
35,"9129d6b5-9d52-4f0f-8298-3421dbf2a359",0.308001,0.207679,0.48432,0.181924,0.307419,0.510657,0.121283,0.495661,0.383056,0.121283,0.495661,0.383056,0.121283,0.495661,0.383056,0.090962,0.371746,0.537292,0.090962,0.371746,0.537292,0.091723,0.231751,0.676527,0.080257,0.202782,0.716961,0.080257,0.202782,0.716961,0.080257,0.202782,0.716961,0.080257,0.202782,0.716961,0.080257,0.202782,0.716961,0.080257,0.202782,0.716961,0.080257,0.202782,0.716961
36,"49ee9333-9e87-4ae8-817f-8d3c05d341d8",1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
37,"9a9be2ac-ff80-42e4-9e12-14345dc5a458",0.487449,0.512551,0,0.637943,0.362057,0,0.544412,0.455588,0,0.544412,0.455588,0,0.408309,0.591691,0,0.408309,0.591691,0,0.526647,0.473353,0,0.438873,0.561127,0,0.438873,0.561127,0,0.438873,0.561127,0,0.438873,0.561127,0,0.438873,0.561127,0,0.387276,0.612724,0,0.387276,0.612724,0,0.387276,0.612724,0
38,"eedb78c7-3fa3-41c9-a0ff-e435a80cfd49",0.972834,0.027166,0,0.986417,0.013583,0,0.986417,0.013583,0,0.986417,0.013583,0,0.990945,0.009055,0,0.990945,0.009055,0,0.990945,0.009055,0,0.990945,0.009055,0,0.990945,0.009055,0,0.990945,0.009055,0,0.990945,0.009055,0,0.990945,0.009055,0,0.990945,0.009055,0,0.990945,0.009055,0,0.990945,0.009055,0
39,"1dfc5843-a0c6-4358-b9fd-eecb18798e3b",0.252727,0.210556,0.536717,0.250077,0.262563,0.48736,0.252459,0.302773,0.444768,0.42776,0.23058,0.34166,0.494941,0.2306,0.274459,0.494941,0.2306,0.274459,0.453382,0.257561,0.289057,0.383658,0.386074,0.230268,0.383658,0.386074,0.230268,0.367819,0.383992,0.248188,0.367819,0.383992,0.248188,0.359622,0.357339,0.283039,0.359622,0.357339,0.283039,0.359622,0.357339,0.283039,0.359622,0.357339,0.283039
40,"11227db3-f2b3-44ca-8bb4-cc20ba7af6f4",0.083265,0.916735,0,0.063669,0.936331,0,0.375779,0.624221,0,0.375779,0.624221,0,0.375779,0.624221,0,0.375779,0.624221,0,0.375779,0.624221,0,0.531834,0.468166,0,0.531834,0.468166,0,0.531834,0.468166,0,0.531834,0.468166,0,0.531834,0.468166,0,0.531834,0.468166,0,0.531834,0.468166,0,0.531834,0.468166,0
41,"41c843b4-adcd-4c25-a450-e574612e295a",0.841062,0.102458,0.05648,0.651716,0.186204,0.16208,0.56039,0.147256,0.292354,0.547842,0.110442,0.341716,0.517368,0.118771,0.363861,0.597806,0.098976,0.303217,0.597806,0.098976,0.303217,0.577542,0.197731,0.224726,0.577542,0.197731,0.224726,0.578385,0.207823,0.213792,0.547194,0.245321,0.207484,0.524651,0.217683,0.257666,0.520516,0.203388,0.276095,0.520516,0.203388,0.276095,0.520516,0.203388,0.276095
42,"ce7bd488-c03d-4613-b89b-34f3c111e889",0.045092,0.040872,0.914036,0.052868,0.329229,0.617903,0.07802,0.256259,0.665721,0.076648,0.192194,0.731158,0.081558,0.185422,0.73302,0.067965,0.162488,0.769547,0.079661,0.20774,0.712599,0.12471,0.199845,0.675445,0.118283,0.185967,0.69575,0.122912,0.176894,0.700194,0.11523,0.218838,0.665931,0.119307,0.253299,0.627394,0.112679,0.264534,0.622788,0.112679,0.264534,0.622788,0.112679,0.264534,0.622788
43,"a18b5945-6c39-4d19-b216-7192b4e0b929",0.521979,0.361439,0.116582,0.557661,0.263316,0.179023,0.437003,0.401452,0.161545,0.495333,0.383508,0.121159,0.534301,0.315348,0.150351,0.500108,0.26279,0.237102,0.428664,0.225248,0.346087,0.516054,0.2247,0.259246,0.487652,0.204273,0.308075,0.478272,0.207368,0.31436,0.463438,0.225129,0.311433,0.431667,0.281347,0.286987,0.431667,0.281347,0.286987,0.431667,0.281347,0.286987,0.431667,0.281347,0.286987
